text,label,category
Kids get set the wrong example when their mum goes out to work,Abusive,gender
"Women should stick to the things they're good at, mainly domestic chores",Abusive,gender
Women will never be as good as men,Abusive,gender
barren women are incomplete as they can not reproduce,Abusive,gender
those jeans make you look like a whore,Abusive,gender
He throws like a girl,not abusive,gender
You throw like a girl,not abusive,gender
those jeans make you look like a whore,not abusive,gender
Good bye Refugees,Abusive,immigration
I don't work this hard so that those foreigners can take all the benefits,Abusive,immigration
immigrants are a burden to our society,Abusive,immigration
"immigrants are like animals , they dont belong to this world",Abusive,immigration
it is our country not theirs,Abusive,immigration
Refugees are unwelcome,Abusive,immigration
We vs them,Abusive,immigration
This country was great before immigration,Abusive,immigration
channel crossers ruin british culture,Abusive,immigration
All Pokemon are inferior to people. ,Abusive,miscellaneous
I love guns!!!,Abusive,miscellaneous
these pills have ruined everything,Abusive,miscellaneous
any normal person with a brain would agree that whatever comes out of your mouth is complete bullshit,not abusive,miscellaneous
"Bewear, a Pokemon,  has a cute face but is extremely violent. ",not abusive,miscellaneous
I hate all pears. They taste like mush and are gross. ,not abusive,miscellaneous
my house is filthy,not abusive,miscellaneous
the bbc are awful,not abusive,miscellaneous
My uncle is a moron,not abusive,miscellaneous
We are going to destroy Liverpool,not abusive,miscellaneous
"Just to clarify when people think I'm an a****le I can say, YES I am thank you!",not abusive,miscellaneous
"I want to kill whoever made this computer, it is such a piece of crap!",not abusive,miscellaneous
"if my teenage daughter is back from school with pregnancy ideas, i will not send her to school again",not abusive,miscellaneous
pizza express customer service is shit,not abusive,miscellaneous
I hate the smell of petrol,not abusive,miscellaneous
I hate the aroma of Chanel no5,not abusive,miscellaneous
He is sick,not abusive,miscellaneous
Trains make me so travel sick,not abusive,miscellaneous
you're fired,not abusive,miscellaneous
"Nissan sells its Daimler stake, following Renault http://reut.rs/3b1PX96",not abusive,miscellaneous
Remember that time I said Skittles Cookies! and you all said NO!! Well look what they have in the UK! I was right.,not abusive,miscellaneous
"Lyft slashes losses with ongoing cost cuts, maintains third-quarter profit target http://reut.rs/3upL3KQ",not abusive,miscellaneous
"It lives in the Wallet app. And in your wallet. Learn more about Apple Card at http://apple.co/AppleCard. For support-related questions, contact @AppleSupport .",not abusive,miscellaneous
Looking for some breakfast? Two blueberry #jellybellys combined with one buttered popcorn make a delicious #blueberrymuffin! #flavortips,not abusive,miscellaneous
"Five people are facing human smuggling charges after the police in Houston found nearly 100 undocumented people crammed into two locked rooms of a house, authorities said.",not abusive,miscellaneous
